staff_index,staff_name,openalex_author_id_short,openalex_author_id_full,author_display_name,author_match_score,author_match_confidence,work_id,title,publication_year,publication_date,raw_author_name,author_position,is_corresponding,paper_confidence,paper_confidence_score,paper_confidence_reasons,paper_has_oxford_affiliation,paper_affiliation_score,paper_time_score,paper_name_score,doi,work_type,cited_by_count,language,is_oa,oa_status,oa_url,landing_page_url,pdf_url,source_id,source_name,source_type,source_is_oa,source_issn_l,volume,issue,first_page,last_page,institutions_distinct_count,countries_distinct_count,topics_json,primary_topic_json,snapshot_source
6,Fiona Alderdice,A5087211893,https://openalex.org/A5087211893,Fiona Alderdice,0.9,high,local:7623f3e8b87b4ce5,COVID-19 and anxiety in pregnancy and postpartum: a longitudinal survey,2025.0,2025-01-01,Fiona Alderdice,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2102367,,,BMC Public Health,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
6,Fiona Alderdice,A5087211893,https://openalex.org/A5087211893,Fiona Alderdice,0.9,high,local:3958b7566ca725fb,Evaluating Overton and Altmetric as tools for tracking healthcare research use and impact on policy and practice: a descriptive study,2025.0,2025-01-01,Fiona Alderdice,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2246137,,,NIHR Open Research,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
6,Fiona Alderdice,A5087211893,https://openalex.org/A5087211893,Fiona Alderdice,0.9,high,local:b6a1bc3615b9b927,Suicidal ideation in the postpartum period: A population-based study of prevalence and risk factors using data from two national maternity surveys in England.,2025.0,2025-01-01,Fiona Alderdice,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2131704,,,J Affect Disord,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
6,Fiona Alderdice,A5087211893,https://openalex.org/A5087211893,Fiona Alderdice,0.9,high,local:2f9d08a5414fb854,Implementing routine assessment of perinatal anxiety: case studies,2025.0,2025-01-01,Fiona Alderdice,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2128202,,,Health and Social Care Delivery Research,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
6,Fiona Alderdice,A5087211893,https://openalex.org/A5087211893,Fiona Alderdice,0.9,high,local:8bd9e755201121a6,"Associations between postpartum haemorrhage, postnatal mental health and longer term mental illness: a record-linked cohort study",2025.0,2025-01-01,Fiona Alderdice,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2102072,,,Journal of Reproductive and Infant Psychology,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
7,Usama Ali,A5029469751,https://openalex.org/A5029469751,Usama Ali,0.9,high,local:dfd2584a2619667e,Long-term psychological and neurological outcomes among people with a history of non-malignant meningioma in the UK Biobank cohort,2025.0,2025-01-01,Usama Ali,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2130255,,,Neuro Oncology Advances,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
7,Usama Ali,A5029469751,https://openalex.org/A5029469751,Usama Ali,0.9,high,local:eec11363ff6c401d,"Temporal trends in the incidence of malignant and nonmalignant primary brain and central nervous system tumors by the method of diagnosis in England, 1993-2017.",2023.0,2023-01-01,Usama Ali,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1319112,,,Neuro Oncol,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
7,Usama Ali,A5029469751,https://openalex.org/A5029469751,Usama Ali,0.9,high,local:c60193f22a5c316c,External validation and recalibration of an incidental meningioma prognostic model - IMPACT: protocol for an international multicentre retrospective cohort study.,2022.0,2022-01-01,Usama Ali,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1236034,,,BMJ Open,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
7,Usama Ali,A5029469751,https://openalex.org/A5029469751,Usama Ali,0.9,high,local:f6e9757e22d17d1e,Evaluation of the implementation of the Back Skills Training (BeST) programme using online training: a cohort implementation study.,2020.0,2020-01-01,Usama Ali,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1126149,,,Physiotherapy,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
7,Usama Ali,A5029469751,https://openalex.org/A5029469751,Usama Ali,0.9,high,local:f0cd7089addea790,SURGEONS TRIAL OF PROPHYLAXIS FOR EPILEPSY IN SEIZURE NAIVE PATIENTS WITH MENINGIOMA: A RANDOMIZED CONTROLLED TRIAL (STOP 'EM),2020.0,2020-01-01,Usama Ali,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Conference paper,0,,,,,https://www.ndph.ox.ac.uk/publications/1155933,,,NEURO-ONCOLOGY,Conference paper,,,,,,,1,1,[],{},staff_recent_publications_json
8,Naomi Allen,A5073405229,https://openalex.org/A5073405229,Naomi Allen,0.9,high,local:669fdcc5baabf5c8,Evaluation of the 4Kscore test in relation to subsequent risk of aggressive prostate cancer in the European Prospective Investigation into Cancer and Nutrition.,2025.0,2025-01-01,Naomi Allen,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2283763,,,Cancer Epidemiol Biomarkers Prev,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
8,Naomi Allen,A5073405229,https://openalex.org/A5073405229,Naomi Allen,0.9,high,local:df626cb3ab44f47c,Assessing the value of linking public health microbiology data to the UK Biobank,2025.0,2025-01-01,Naomi Allen,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Preprint,0,,,,,https://www.ndph.ox.ac.uk/publications/2237626,,,,Preprint,,,,,,,1,1,[],{},staff_recent_publications_json
8,Naomi Allen,A5073405229,https://openalex.org/A5073405229,Naomi Allen,0.9,high,local:e88dec2b284b995c,Enhancing Health Outcomes in Linked Administrative Data: Development and Validation of an Open-Access Mapping Resource using UK Biobank,2025.0,2025-01-01,Naomi Allen,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Conference paper,0,,,,,https://www.ndph.ox.ac.uk/publications/2133361,,,,Conference paper,,,,,,,1,1,[],{},staff_recent_publications_json
8,Naomi Allen,A5073405229,https://openalex.org/A5073405229,Naomi Allen,0.9,high,local:4e0adc2e238e48ad,Prospective evaluation of 92 protein biomarkers for early detection of endometrial cancer.,2025.0,2025-01-01,Naomi Allen,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2117937,,,International journal of cancer,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
8,Naomi Allen,A5073405229,https://openalex.org/A5073405229,Naomi Allen,0.9,high,local:d9398cf3c8ac6c10,"Role of primary and secondary care data in atrial fibrillation ascertainment: impact on risk factor associations, patient management, and mortality in UK Biobank.",2025.0,2025-01-01,Naomi Allen,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2084149,,,Europace,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
9,Ben Allin,A5039642029,https://openalex.org/A5039642029,Ben Allin,0.45,low,local:3454824cf8f88535,"The patient's outcome, not the surgeon's opinion, defines surgical success.",2024.0,2024-01-01,Ben Allin,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2036189,,,Arch Dis Child,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
9,Ben Allin,A5039642029,https://openalex.org/A5039642029,Ben Allin,0.45,low,local:10238f89d641168e,Place of birth and postnatal transfers in infants with congenital diaphragmatic hernia in England and Wales: a descriptive observational cohort study.,2024.0,2024-01-01,Ben Allin,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1655445,,,Arch Dis Child Fetal Neonatal Ed,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
9,Ben Allin,A5039642029,https://openalex.org/A5039642029,Ben Allin,0.45,low,local:5dc02f8a5eb8f365,Defining treatment success in children with surgical conditions.,2023.0,2023-01-01,Ben Allin,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1588472,,,Arch Dis Child,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
9,Ben Allin,A5039642029,https://openalex.org/A5039642029,Ben Allin,0.45,low,local:a8cfadc7e1c581dd,"Development Methodology, Availability, and Implementation of Core Outcome Sets in Pediatric Surgery.",2023.0,2023-01-01,Ben Allin,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1554196,,,Eur J Pediatr Surg,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
9,Ben Allin,A5039642029,https://openalex.org/A5039642029,Ben Allin,0.45,low,local:a81d589c6d6c708d,Using stated-preferences methods to develop a summary metric to determine successful treatment of children with a surgical condition: a study protocol.,2022.0,2022-01-01,Ben Allin,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1261846,,,BMJ Open,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
10,James Altunkaya,A5007265688,https://openalex.org/A5007265688,James Altunkaya,0.9,high,local:ca4ca1d13a9b829d,The Impact of Unrelated Future Medical Costs on Economic Evaluation Outcomes for Different Models of Diabetes.,2024.0,2024-01-01,James Altunkaya,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2031286,,,Appl Health Econ Health Policy,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
10,James Altunkaya,A5007265688,https://openalex.org/A5007265688,James Altunkaya,0.9,high,local:53bc3ee2a63c2186,Examining the Impact of Structural Uncertainty Across 10 Type 2 Diabetes Models: Results From the 2022 Mount Hood Challenge.,2024.0,2024-01-01,James Altunkaya,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2013891,,,Value Health,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
10,James Altunkaya,A5007265688,https://openalex.org/A5007265688,James Altunkaya,0.9,high,local:6c7f374e28829b85,Associations between BMI and hospital resource use in patients hospitalised for COVID-19 in England: a community-based cohort study.,2024.0,2024-01-01,James Altunkaya,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1998187,,,Lancet Diabetes Endocrinol,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
10,James Altunkaya,A5007265688,https://openalex.org/A5007265688,James Altunkaya,0.9,high,local:a11e48f1e8f901d3,Potential Value of Identifying Type 2 Diabetes Subgroups for Guiding Intensive Treatment: A Comparison of Novel Data-Driven Clustering With Risk-Driven Subgroups.,2023.0,2023-01-01,James Altunkaya,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1340562,,,Diabetes Care,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
10,James Altunkaya,A5007265688,https://openalex.org/A5007265688,James Altunkaya,0.9,high,local:f3dc08b3ab957105,THE POTENTIAL VALUE OF IDENTIFYING TYPE 2 DIABETES SUBGROUPS IN THE CPRD COHORT FOR GUIDING INTENSIVE TREATMENT: A HTX STUDY COMPARING NOVEL DATA-DRIVEN CLUSTERING TO TRADITIONAL RISK-DRIVEN SUBGROUPS,2023.0,2023-01-01,James Altunkaya,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Conference paper,0,,,,,https://www.ndph.ox.ac.uk/publications/2104535,,,VALUE IN HEALTH,Conference paper,,,,,,,1,1,[],{},staff_recent_publications_json
12,Harindra Amarasinge,,,Harindra Amarasinge,0.45,low,local:89450158c8bdd308,Mapping the epigenomic landscape of human monocytes following innate immune activation reveals context-specific mechanisms driving endotoxin tolerance.,2023.0,2023-01-01,Harindra Amarasinge,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1547181,,,BMC Genomics,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
12,Harindra Amarasinge,,,Harindra Amarasinge,0.45,low,local:7acadcea90a1d95d,Epigenomic analysis reveals a dynamic and context-specific macrophage enhancer landscape associated with innate immune activation and tolerance.,2022.0,2022-01-01,Harindra Amarasinge,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1265714,,,Genome Biol,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
12,Harindra Amarasinge,,,Harindra Amarasinge,0.45,low,local:baa072fb79108901,Clinico-biological significance of DNA methylation in chronic lymphocytic leukaemia patients: results from three UK clinical trials,2020.0,2020-01-01,Harindra Amarasinge,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Conference paper,0,,,,,https://www.ndph.ox.ac.uk/publications/1112338,,,LEUKEMIA & LYMPHOMA,Conference paper,,,,,,,1,1,[],{},staff_recent_publications_json
12,Harindra Amarasinge,,,Harindra Amarasinge,0.45,low,local:ef5d1a56f2f19d90,The clinical importance of DNA methylation signatures in chronic lymphocytic leukemia patients treated with chemo-immunotherapy,2018.0,2018-01-01,Harindra Amarasinge,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Conference paper,0,,,,,https://www.ndph.ox.ac.uk/publications/1026953,,,CANCER RESEARCH,Conference paper,,,,,,,1,1,[],{},staff_recent_publications_json
12,Harindra Amarasinge,,,Harindra Amarasinge,0.45,low,local:71599bb871810fae,"Allele specific expression and methylation in the bumblebee,Bombus terrestris",2017.0,2017-01-01,Harindra Amarasinge,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2020417,,,PeerJ,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
14,Najaf Amin,A5004324001,https://openalex.org/A5004324001,Najaf Amin,0.9,high,local:b17dce478f4b106b,Machine learning in Alzheimer's disease genetics.,2025.0,2025-01-01,Najaf Amin,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2247449,,,Nat Commun,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
14,Najaf Amin,A5004324001,https://openalex.org/A5004324001,Najaf Amin,0.9,high,local:c422ecb4e79b573a,"Neuroticism, omega-3 fatty acids, and risk of incident dementia.",2025.0,2025-01-01,Najaf Amin,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2131604,,,J Affect Disord,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
14,Najaf Amin,A5004324001,https://openalex.org/A5004324001,Najaf Amin,0.9,high,local:c74104a97fcc8d32,APOE stratified genome-wide association studies provide novel insights into the genetic etiology of Alzheimers's disease.,2025.0,2025-01-01,Najaf Amin,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Preprint,0,,,,,https://www.ndph.ox.ac.uk/publications/2124825,,,,Preprint,,,,,,,1,1,[],{},staff_recent_publications_json
14,Najaf Amin,A5004324001,https://openalex.org/A5004324001,Najaf Amin,0.9,high,local:75a052c5ddf51e6d,A rare variant in <i>GPR156</i> associated with depression in a Mennonite pedigree causes habenula hyperactivity and stress sensitivity in mice.,2025.0,2025-01-01,Najaf Amin,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2124650,,,Proceedings of the National Academy of Sciences of the United States of America,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
14,Najaf Amin,A5004324001,https://openalex.org/A5004324001,Najaf Amin,0.9,high,local:eee47324cb0703b6,Integrating the environmental and genetic architectures of aging and mortality.,2025.0,2025-01-01,Najaf Amin,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2090908,,,Nat Med,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
18,Xiang Ao,A5076128975,https://openalex.org/A5076128975,Xiang Ao,0.9,high,local:b4dd51929231193a,Does polycentric regional development promote economic resilience? Empirical evidence from urban agglomerations in China,2025.0,2025-01-01,Xiang Ao,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2110614,,,JOURNAL OF ECONOMIC GEOGRAPHY,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
19,Andrea Aparicio Castro,A5009308391,https://openalex.org/A5009308391,Andrea Aparicio Castro,0.45,low,local:fb75ea67c05e4e86,"Estimating and conditional forecasting bilateral migration flows between South America and Europe, 1985-2050",2025.0,2025-01-01,Andrea Aparicio Castro,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2133065,,,International Migration Review,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
19,Andrea Aparicio Castro,A5009308391,https://openalex.org/A5009308391,Andrea Aparicio Castro,0.45,low,local:0f397be1edec85b1,The Economic Impact of the COVID-19 Pandemic on Ethnic Minorities in Manchester,2024.0,2024-01-01,Andrea Aparicio Castro,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2133059,,,SSRN Electronic Journal,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
19,Andrea Aparicio Castro,A5009308391,https://openalex.org/A5009308391,Andrea Aparicio Castro,0.45,low,local:d037c4b3c88db644,A Bayesian approach to estimate annual bilateral migration flows for South America using census data,2024.0,2024-01-01,Andrea Aparicio Castro,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2133058,,,Journal of the Royal Statistical Society Series A Statistics in Society,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
19,Andrea Aparicio Castro,A5009308391,https://openalex.org/A5009308391,Andrea Aparicio Castro,0.45,low,local:df6548d614fa93f6,"Revista Ciudades, Estados y Política",2024.0,2024-01-01,Andrea Aparicio Castro,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2133063,,,,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
19,Andrea Aparicio Castro,A5009308391,https://openalex.org/A5009308391,Andrea Aparicio Castro,0.45,low,local:f160552a2383d151,The economic impact of the COVID-19 pandemic on ethnic minorities in Manchester: lessons from the early stage of the pandemic,2023.0,2023-01-01,Andrea Aparicio Castro,,,low,0.48,Bundled staff-profile publication with weak or missing person/paper evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2133060,,,Frontiers in Sociology,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
21,Jane Armitage,A5025156367,https://openalex.org/A5025156367,Jane Armitage,0.72,medium,local:2b6ad60e825d7eb4,Cost-effectiveness of fenofibrate versus standard care for reducing the progression of diabetic retinopathy: An economic evaluation based on data from the LENS trial.,2025.0,2025-01-01,Jane Armitage,,,medium,0.7,Bundled staff-profile publication; person-level match is credible but paper-level OpenAlex affiliation evidence is not available in the snapshot cache.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2128101,,,Diabet Med,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
21,Jane Armitage,A5025156367,https://openalex.org/A5025156367,Jane Armitage,0.72,medium,local:ce30ebae53199636,Effect of supplementation with vitamin D on biochemical markers of iron status and erythropoiesis in older people: BEST-D trial.,2025.0,2025-01-01,Jane Armitage,,,medium,0.7,Bundled staff-profile publication; person-level match is credible but paper-level OpenAlex affiliation evidence is not available in the snapshot cache.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2127741,,,Br J Nutr,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
